State,Time to Obtain Permit
Alabama,Day of Burn
Alaska,More than 1 Day
Arizona,More than 1 Day
Arkansas,N/A
California,More than 1 Day
Colorado,More than 1 Day
Connecticut,More than 1 Day
Delaware,More than 1 Day
Florida,Day of Burn
Georgia,Day of Burn
Hawaii,More than 1 Day
Idaho,More than 1 Day
Illinois,More than 1 Day
Indiana,N/A
Iowa,N/A
Kansas,N/A
Kentucky,N/A
Louisiana,N/A
Maine,Day of Burn
Maryland,More than 1 Day
Massachusetts,More than 1 Day
Michigan,Day of Burn
Minnesota,Day of Burn
Mississippi,Day of Burn
Missouri,N/A
Montana,More than 1 Day
Nebraska,More than 1 Day
Nevada,N/A
New Hampshire,Day of Burn
New Jersey,More than 1 Day
New Mexico,More than 1 Day
New York,More than 1 Day
North Carolina,Day of Burn
North Dakota,More than 1 Day
Ohio,More than 1 Day
Oklahoma,Day of Burn
Oregon,Day of Burn
Pennsylvania,More than 1 Day
Rhode Island,More than 1 Day
South Carolina,Day of Burn
South Dakota,N/A
Tennessee,N/A
Texas,N/A
Utah,Day of Burn
Vermont,Day of Burn
Virginia,N/A
Washington,More than 1 Day
West Virginia,More than 1 Day
Wisconsin,Day of Burn
Wyoming,N/A
